text,stars,label
i love these cupcakes!!!!!!!! i have amde these many time & each time i get only good compiments & everyone askes for the recipe =d i also entered them in our local fair this year & got 1st juges fav. best of class & best of show!!! my mom craves these cpucakes all the time ;) highly recomend them!!!!,5,1
"absolutely delicious! if you like, use shredded cooked chicken in the filling (add after the onions are cooked in a little olive oil) instead of the beef. substitute chicken broth for the beef broth.",5,1
the first time i made this my family and i was super impressed and it has become the most requested dessert for sunday dinners.,5,1
"i have been making these bars since the recipe first was posted. they are a hit with my family, co-workers, and friends. this is always the first choice n my home now with over rip bananas. thanks for the great share.",5,1
"so good. i know i'm leaving this rating awfully late, but i made this up as a dessert for christmas. and there was none left at the end of the day. so good!",5,1
"just made these following the recipe exactly. very good! it is also a very good, not-too-sweet ""muffin"" without the frosting. adding raisins would be an option. a ""keeper"" recipe!",5,1
"this cake was moist, i'll give it that. but as far as taste goes, the flavor was very lacking. i tasted almost no chocolate, and that was after i added more cocoa than it called for. i would not make this again. to me, a chocolate cake should taste more chocolatey than this cake did.",2,0
this has become one of my family favorites. very easy. my family won't eat lasagna any other way.,5,1
amazing! growing up....stuffed green peppers were my favorite! i did not (wish i had) know there was such a thing as green pepper soup until i was at an upscale restaurant a few months ago and it was one of my choices for soup. i tried it and was blown away how good it was... it reminded me of my mom's! that night when i got home....i searched online to find this v recipe. i had all the ingredients.... so the next day i made it and now it is a monthly dinner plus enough for my lunch the next day! i did add a few splashes of .... worcestershire because that was something i remember my mom putting in her stuffed peppers & with my eyes closed it was liked eating my mom's stuffed peppers! amazing!!! to put a slice of american cheese on top of each bowl..... will blow your mind.... makes it creamy and delicious! i am a picky eater.... so to find this recipe is the best! to make it thicker add a little more cooked rice other than that enjoy!,5,1
husband loves it,5,1
i love this recipe. i use ricotta instead of cottage cheese.,5,1
"i've made this a few times, and i always add diced tomatoes, mushrooms, and garlic. and, i substitute the ground beef with seasoned ground turkey. i top it with more mozzarella and parmesan cheeses. one jar of ragu is enough for me.....but either way, it always comes out good, and beats standing over a stove for hours.",4,1
make sure you use quality cheese for a good cheese flavor. it was delicious.,5,1
"i was a little worried after taste tasting after i added the flour. it really tasted like flour. didn\'t give up, it did say to simmer to let the flavors meld. glad i did. it was really tasty! may add some portobellos and a titch of sherry next time. low calories for a creamy soup. added benefit. thanks anne and other cooks who gave me the thumbs up to try it!",5,1
i made these yesterday on a cold snowy new england morning. wonderful! i agree with another reviewer that they are better than bisquick. i'm glad i gave these a try. i will definitely make again!,5,1
"this pie is very heavy on crust/topping. it definitely needs some flavoring - cinnamon, nutmet, etc. very bland. will not make again.",1,0
this message is for suzanne: i've made the bread with a standup mixer and by hand. both times the bread turned out fine. it was just a little easier with my kitchen aid.,5,1
"mmmmgood!!! i did add an extra 1/2 lb. hamburger. i didn't even try it with the sour cream, because it was so"" good"" already. also, it just get's tastier as leftovers! thank you for a very tasty soup during this very long, very cold winter!",5,1
"we only made one small change to the recipe, we omitted the sage & added cayenne. it was amazing!! this is our new go to enchilada recipe!",5,1
i make this all the time my boys love it. it is very easy and tasty,5,1
i found this recipe as i had some fresh zucchini to use up. it turned out wonderful!!!it is definitely a keeper. my husband and toddler both loved it. the only thing i did different was sauteed my onion and green pepper and then cooked my meat and used my favorite spaghetti sauce. it was absolutely delicious!,5,1
i can remember my mom baking hot milk cake ..she would spread karo syrup on top it was so delicious,5,1
"this macaroni salad was ok, but i've had better. flavor was a bit bland for me.",2,0
"this got my husbands 2 thumbs up...had it today for lunch. i did add 1tsp each, basil, oregano and garlic powder to sauce along with fresh mushrooms on top. definitely a keeper!",5,1
"thank you for posting this recipe. i changed it a bit with fine results. here's what i did: omitted the applesauce and used a tad less sugar, used a tad more flour(maybe a few extra tablespoons because i did not measure flour exactly), used softened butter instead of oil and baked the batter in one larger glass loaf pan instead of two smaller ones. i used whole walnuts, not chopped walnuts. toward the end of baking (last 20 minutes) i lowered the oven temperature to 325 degrees. this came out the best so far out of all the gluten free recipes for banana bread i have tried. i also used a homemade recipe for gluten free flour that contains the following: white rice flour, brown rice flour, potato starch, tapioca starch, pectin and xanthan gum. the raw batter was thick going into the pan. once the butter and sugar were creamed, i basically dumped everything else in including whole peeled bananas, and whipped it all up in my kitchen aid mixer for less than a minute. i liked the sprinkled nuts on top(which i did not measure) as opposed to mixing them into the batter. i just made sure the top of the batter was covered nicely with walnuts. the nuts get nice and toasted and it looks good, too! by the way, there is no milk in this recipe. perhaps leaving out the applesauce is why the batter was not soupy. i like to alter recipes when i don't have all the ingredients on hand. i also like this recipe because it uses a lot of ripe bananas, which i had plenty of today : )",5,1
"this was delicious! i substituted gluten free lasagna noodles and an almond based flour and used real crabmeat. fantastic! it was a huge hit at my dinner party, and our gluten intolerant friend appreciated it.",5,1
"i make this at least once a week. so easy and so reliably juicy and delicious! even if i leave it in longer while i finish my sides, it has never been dried out, never overcooked, always soft, flaky, moist & tasty.",5,1
i have tried many and this is my favourite by far! it did take about 20 min longer in the oven and i used pecans,5,1
i made these for a teachers luncheon and kept a dozen for my family. i haven't heard anything back yet from the teachers or pta but the ones in my house were gone within 2 days! they are moist and taste like pumpkin pie in a wrapper! i am making again today to take to a friend who just had a baby and we will keep the rest! yum!,5,1
"i was really skeptical about the fat free half and half and flour in this recipe, but i've been on weight watchers and really craving new england clam chowder so i thought i'd give it a try. it worked like a dream, thickened up perfectly and tasted rich. no one could tell it was lower in fat. i also added celery with the onion, but otherwise kept the recipe the same. my family and guests thought it was great and finished every drop. in the past i've added a splash of lager or pale ale to my chowder (not canon, i know, but i like it) and i may do that with this recipe in future. it just adds a little depth to the flavor.",5,1
i made this on xmas eve to serve xmas morning...very good...it is already slotted for the menu for xmas 2011!,5,1
we have made this recipe several times. the entire family loves it.,5,1
made this for my office for st. patrick's day. everybody loved it. am planning to make again to take in for easter--one in peach and one in strawberry. super yummy!,5,1
my sis made these. i would have never made a zuchinni cupcake but i sure am glad she did. now one of my favorites. the combination of flavors is perfect; the frosting is delicious!,5,1
these are absolutley delicious and a really easy recipe to follow. my mom used to make pumkin bars every fall and i always looked forward to it as a kid. my mom has sinced passed away and i couldn't find the recipe for them. i stumbled upon this one and it tastes exactly like the kind she used to make. i will definetely use this recipe over and over!,5,1
excellent chowder recipe. very nice flavor.,5,1
"i give this recipe an a+! yummy, yummy, yummy!",5,1
delicious! reviews are spot on! i skipped mushrooms and substituted cream of chicken soup and added spinach instead of celery.,5,1
excellent recipe! i would make it again!,5,1
"emily, thank you for adding your comment of using 3 bananas & not adding the oil, this is great!, less calories. there is added value when adjustments are made to the recipe. this helps to cut down on calories or use substitutes. very much appreciated.",5,1
"this soup is wonderful, full of flavor, and surprisingly simple. i made a couple small adjustments to the original recipe, which are as follows: i doubled the amount of mushrooms to 1 pound using a mixed variety of mushrooms and i used a large onion (chopped). otherwise, everything else was as written. i like a lot of mushrooms in mushroom soup and 1/2 pound was not nearly enough.",5,1
"doubled this recipe to make 2 loaves. i cooked for 65 minutes, took out of oven and began to cool it. realized that it was not done and put back into the oven. baked for another 25 minutes and took out. still did not seem done. followed the recipe to a t. do not know what happened. maybe too much oil. any suggestions. will not make again.",2,0
"its is a very good recipe. however, i find using too much real crab meat will give it an overwhelming taste. that's most likely why they suggest imitation crab meat.",4,1
i made these with turkey & american cheese and fed some hungry athletes while we were on the road. they were a big hit. now i'm making them again for my family.,5,1
"very moist. light texture. delicious. only fault with this recipe is that it was entirely too much frosting. next time, i will make half as much frosting. great recipe. made 27 cupcakes.",5,1
omg! this will be a new christmas treat every year. it is really putzy and kind of hardto cut into nice squares but well worth it. i left out the peanuts because i don't like the texture.,5,1
made with boneless chicken thighs and cooked them first in my sous vide and then followed recipe exactly. dee licious! picky husband raved about the wonderful flavor. he even asked for leftovers in his lunch tomorrow. ;),5,1
"i didn't put on the frosting. they didn't need it, my husband thinks frosting is too sweet and i have to watch my sugar intake so a win-win all around. this will be the zuke muffin recipe i'll use from now on! thanks! (oh.. i did use only half of the amount of the spices.. our preference..)",5,1
"oh, my gosh! this has been our family's favorite cake since i first made it when toh debuted in 1993! we have six children, & all of them frequently requested it for birthdays, nameday treats, half-year birthdays (we celebrate a lot in our family!), baptismal anniversary days, etc. our oldest daughter asked me to make it for her wedding reception in oct. 2013! the only change i make is to make 1 1/2 times the amount of frosting & then use the recipe for the frosting in the toh 2/96 issue for pastel chocolate cake. we call the resulting cake ""rainbow cake."" i don't change a thing in the recipes!",5,1
"having never made a chicken pot pie before in my life, i was thrilled with how easy this recipe was to make and how delicious it turned out. we halved the recipe to make just one pie. the nice thing: this was a forgiving recipe. we had slightly less chicken then called for but slightly more potatoes. and didn't have any onions (because that's pandemic cooking!) so just used some onion powder for flavor. really: as long as you fill the pie and have the right amount of the gravy mix, it's okay to have some variation on the fillings and will still turn out great. will absolutely make this again and again!",5,1
too salty for us - but i'd love to find a similar recipe with less salt!,2,0
"excellent recipe! the ingredients are surprising but meld perfectly. the pumpkin adds to the flavor and texture but is not really detectable, which we liked. this recipe is easy, inexpensive and my family loved it. i will be making this regularly. i made it with leftover turkey as directed this time, but will try with ground turkey at other times of the year. the only modifications i made were to use a red bell pepper because that is what i had, and i added a little black pepper.",5,1
"susan, don't add the 3/4 tsp. of salt and use low-sodium chicken broth. if you are used to no salt, this shouldn't be a problem for you. sometimes lemon or a splash of vinegar will help. use sharp cheddar instead of mild cheese for a bit more tang.",5,1
we have tried this with bacon and sausage and enjoyed both.,5,1
these bars are awesome. the rhubarb taste is lovely. i did cut back on the amount of sugar in the filling - but just because i like it a little more tart. i am going to try cutting back about 1/4 on the base ingredients just so it is not quite so thick. thank you for a great recipe! we will be enjoying these often.,5,1
i introduced this dish to my family for our 2008 christmas dinner. this seafood lasagna was very delicious! i appreciate that the recipe was well written. the measurements for the ingredients were perfect as were the directions. since everyone enjoyed it i know i will be preparing this recipe again. thank you!,5,1
outstanding!! very rich!!!,5,1
these were very good. loved the spices and icing made it so good.,5,1
i run the oats through my magic bullet so it is more of an oat flour.,5,1
i have been making this recipe for years & it is our favorite meatloaf recipe . so moist & delicious!,5,1
"this is the best lasagna ever. i don't use pork sausage, i just add a few fennel seeds to my sauce to give a little sausage flavor.",5,1
the cookies are wonderful. i used cold butter and mixed it in a stand mixer to soften with the sugar and the cookies did not spread. just perfect!,5,1
"everybody loves this salad. it's easy and makes for a great ""bring something"" dish. i really like it sans the brown sugar and nuts. i think it's perfect all by itself, but the garnish does make it look better. i make it at night and let it sit in fridge until the next day. make sure grapes are dry before combining.",5,1
"this is the bomb, when i take it out to potluck it is the first dish emptied. everyone asks for the recipe.",5,1
"the cake was phenomenal! my family loved it, and when i brought to my bake sale, it was the only item that was sold out completely. the only thing i added to it was a little more flour because the recipe was a little too liquidy. other than that, it was an awesome cake!",5,1
"this is definitely a first place macaroon recipe. it has the best color, taste, and consistency of all i have tried; including the one on the coconut bag. one addition i make is to sub in a almond extract (just because i like that flavor); 3/4 vanilla extract and 1/4 almond extract. it also works just fine to use cooking spray instead of crisco to grease your cookie sheets. i quadrupled the recipe and it made 65 macaroons - using a teaspoon measure to scoop each serving. i live at high altitude in denver and did not need to do any substitutions.",5,1
"yummy soup and easy to make. i have made this twice in the last week. i just used grated cheddar cheese and i did not have any green onions, otherwise i made it just as it says.",5,1
"i first tried this recipe from my taste of home cookbook a few years back. it has become a family favorite!! it really is easy to make and has such great flavor. i make it a few times during the year. especially during the cold winter months. i've also tried it with jar sauce but it's just not the same i've also used my own homemade sauce from cooking down tomatoes which is to die for!!! i loaned my cookbook to my sil and have not gotten it back yet so i'm so glad it's included in the online recipes. my husband has been craving ""the best lasagna ever"" as he calls it. he's so right. definitely a 5 star recipe",5,1
this soup is so good! i did use an emulsion blender to make chunks smaller. my husband loved it!,5,1
i made this cake for my father in law who is watching his calorie in take. he now said this cake must be made at all family get togethers! it's he's new favorite.,5,1
"my granny made this cake all the time for my pappy. it was from scratch & made in a pyrex bowl. (smaller scale) but what she did that made it so great was to add while hot, the coconut and brown sugar icing. while the cake is baking, in a pan she melted 6 t butter, 3/4 c brown sugar, 3 t. milk and 1/2 to 1 c. coconut. bring to a boiling point and pour over the warm cake. i punch holes in mine to let it seep in. heaven! i have to tell you that i have looked for this recipe for years and this is as close to my granny's as you can get. thank you for the recipe. so to those ladies who complained, sorry but cake is priceless to me.",5,1
loved this! this will be my go-to fajita recipe from now on!,5,1
"i have used a recipe very similar to this one since 1966. mine uses 1 stick of margarine instead of oil, only 1 cup of sugar, 3 mashed bananas not 2 and no buttermilk or vanilla plus i've always used pecans and not walnuts but that is a matter of preference. instead of bread, i often make miniature muffins and we love the muffins.",5,1
"we loved this!! my husband said it was a keeper. i used one boneless chicken breast cut into tiny pieces, and sprinkled just a pinch of red pepper flakes. it was a tad dry when i added the noodles, so increased the amount of soy sauce and a little chicken broth to loosen it up. will definitely be making this often.",5,1
"i often make this bread - it is so yummy. as in every bread i bake, i substitute applesauce for the oil and use about 1/2 the sugar. the last time i baked this, added white chocolate chips - that was really good.",5,1
"i made this exactly as the recipe is here, with ham, for us and for a neighbor. amazing!! i was tempted to add salt and pepper, but really didnt need to. my husband is not a fan of casseroles, but loved this one. it is quick, easy and absolutely delicious. thank you!",5,1
excellent soup! we served it to ten and not one complaint. definitely worth making again.,5,1
i made this a bit healthier by using spaghetti squash instead of noodles. added mushrooms to the meat mixture as well. it was delicious!,5,1
"meatloaf is a family favorite and this is a good one. i usually mix a 1/2 pound of ground pork with 1 pound of ground beef in my meatloaf. served with some mashed potatoes, this is comfort food at its best.",5,1
it is very tasty and lite.i will difinately be making it again.,5,1
"i've made this recipe twice. both times the directions and cook time came out perfect. the second time i added 2 tablespoons of ground ginger opposed to 2tsp because i really love ginger. i felt that the first batch had too much of the clove flavor and not enough of the ginger. i used wakaya pink fijian ginger which is a high impact ginger, mainly to add a more healthy twist on this delicious recipe. i did not change the amount of cloves. this is now quite possibly the best tasting cookie i've ever had. my wife is a big baker and she thinks that they're possibly the best cookie she's ever had.",5,1
made it in a 9x13 and came out great. hard to beat spiced cake and caramel frosting. this will definitely be made again,5,1
"this recipe is really really good. i've also used the zucchini, cheese, and egg mix as the base for eggplant parmesan instead of pasta. everyone loves it.",5,1
i made this for a crowd for my granddaughter's christening luncheon. it is so much easier to put everything in a large bowl and mix it together and then put into baking dish. each and every morsel is coated and incredibly delicious.,5,1
"i prepared this for a party of 50 yesterday following instructions exactly with the exception of the ""low fat"" 1/2 n 1/2. i used regular and cut out 1/5 of the recommendation. it turned out to be an absolute crowd pleaser! i received favorable remarks all afternoon and was asked by several to add it to my menu. i doubt that i'll add it to the cafe's menu, but i will definitely offer it on the catering, there is no doubt about this recipe winning contests. thank you for sharing it",5,1
can be easily poured into silicone molds. skip the cups and it's much less time consuming. these were a hit. did not modify the recipe at all.,5,1
"we love this cake, i go back to this recipe quite a bit. and the icing is so tasty! if i had to choose between this and a buttercream i'd choose this one always. not so sweet.",5,1
"i will definitely make this. i like every single ingredient in this, so i fail to see why i wouldn't like it.",5,1
a delicious change to any meal especially take to potlucks.,5,1
"my family loves this, too.",5,1
"wow, this was simple, delicious and a huge hit at work. i added extra peanut butter cups to the top because there can never be enough!",5,1
same way you make peanut butter bars,5,1
"i just had a question, but had to add a star to ask it so i gave it 1 star. do you think this would be a good base for tres leches cake?",1,0
i made for dinner last night. amazing and simple to make.,5,1
"followed the instructions right up until the end, then added an extra 10 oz can of whole baby clams (thanks susan6620!) chowder was awesome. very filling with a side salad.",5,1
"no wonder this recipe is a contest winner. it was delicious - very flavorful - and hearty. i used a total of two 32 oz swanson chicken broth boxes because i thought it needed more broth to match the tortellini and because of other reviewers saying the same thing... i was glad i did. i did not use the water because of what other reviewers said about replacing it with broth, which my bigger boxes of broth took care of. i skipped the can of diced tomatoes because i'm not a fan but i can see how they would add to the soup for others. the recipe calls for turkey sausage but i used regular italian sausage and it calls for 12 oz but i had 16 oz so i used the whole thing. for the refrigerated tortellini, i used the tiny cheese raviolettis that buitoni offers. i used fresh spinach from one of the 9 oz ""salad"" bags (probably used about 7 oz of it and didn't chop it up) and i did two tablespoons of the fresh basil because i love it. i used more than a dash of red pepper... did a couple of shakes. we did put shredded parmesan on top and i highly recommend. i served the soup with really good five grain bread and butter and, as i write this, i wish i was having the meal again tonight because it was amazing.",5,1
"this apple crisp is delicious. it has very pleasing proportions of apple to crisp. i did make some changes based on other reviews because we don't like things as sweet as this would be with the called-for sugar. i cut the brown sugar and the sugar back to a little more than 1/2 cup each. i also used about 1-1/2 tsp. of cinnamon. i used 4 medium granny smith apples, which amounted to a little over 4 cups. in deference to my husband's trying to watch his cholesterol, i used i can't believe it's not butter (and i love butter in baked goods). i must say the product lived up to its name! i will definitely make this again!",5,1
made recipe as is but used more eggs for pot luck. made it healthier for myself using shreddred summer squash in place of potatoes and was excellent & none knew the difference.,5,1
"this is a good recipe. i tried it using a muffin-top pan (350? for 20 minutes). it was easy to make, also.",5,1
"even my non coleslaw liking kids, loved this recipe. made dressing exactly as written, except i used colored, spiral rotini and red pepper for color. liked it even more the next day!!",5,1
i have made this a couple of times and the entire family loves it. i did take the advice of spreading some salsa on the bottom of the dish before the tortillas and it worked out much better!,5,1
easy to make and family loved it. delish!!!!,5,1
"i love mexican style meals better than my wife but she gave these five stars also. i complimented these with refried beans (recipe compliments of ree drummond), arroz rojo aka red rice (recipe compliments of marcela valladolid) and quacamole. for the two of us this was to much to eat for one meal but it was excellent the next day. two tips: the refried beans freeze well for use at a later date, if you have plenty of left over quacamole smooth it out on top and gently add a thin layer of water, the next day pour the water off and you have quacamole that didn't turn brown.",5,1
i usually follow recipes to the tee but i didn’t want to waste any pumpkin so i used the whole can and decided to reduce the water by half. i figured the moisture from the pumpkin would replace the water i didn’t use. this bread was insanely delicious and moist. it doesn’t last long in my house. i am making two loaves tonight for tomorrow’s potluck thanksgiving lunch at work! this is a definite keeper. the color of the bread is beautiful too!,5,1
"i had prepared this recipe quite sometime back! i prepared it again! i have adjusted this recipe by adding 1 tbsp. ground navel orange and i also added 1/2 tsp. each of all-spice andnutmeg to the other spices and dry ingredients listed in this recipe! i used 1 cup shredded zucchini with 1/2 cup unpeeled chopped tart apple, rather than 1-1/2 cups zucchini. for the icing, i'd used 3 cups confectioners' sugar-the 2 cups didn't make for a good spreading consistency! i'd also just melted the butter with the brown sugar-i didn't cube the butter.i used evaporated milk and started with 1/4 cup milk, and gradually added up to 2 tbsp.more milk to achieve a desirable spreading consistency! i did have to stir the frosting with a mixing spoon to make the icing pliable and easier for me to spread. i also baked cupcakes 25 minutes to make sure that they were golden brown and really baked! thank you,virginia lapierre, for sharing your recipe with taste of home!this recipe is a wonderful way to use zucchini! delowenstein",5,1
i make this recipe but i put it in a 9x13 pan and put the brown sugar and pecans over the top right away. i think it is better made the day before serving.,5,1
"made this in the crockpot and it turned out delicious! instead of velveeta cheese i just used what i had in the fridge, half a block of habanero cheese and about 1/3 a small jar of cheese wiz. left out the sour cream.",5,1
this recipe always gets rave reviews and requests for the recipe. it's a new summer favorite for our family.,5,1
"these enchiladas are so easy to make and are absolutely delicious! my husband loves these and i've now had to make them 3 weeks in a row! i follow the recipe, except that i use pulled chicken from a rotisserie chicken, and i use 10 inch tortillas rather than 6 inch. my 3 year old even likes these! i serve with spanish rice, and a side salad of lettuce, tomato, avacado and sour cream. yum!",5,1
these are delicious scalloped potatoes.i used evaporated milk instead of 2%. it gives them a richer flavor.,5,1
"this is the same recipe my 93 year old mother made and it has always been a hit with everyone who is lucky enough to have a slice! the only thing we did not include is the cheese, however i just recently made it exactly as the recipe states and the cheese is a wonderful, rich addition! love this recipe, it's definitely a keeper!",5,1
"i tried this recipe once and it was terrible. the second time i used 1/4 cup water and 1 tablespoon sugar. dissolved the sugar and then added the yeast. cover the yeast and let it set for 10 minutes until frothy. after that i added the rest of the ingredients and kneeded the living carp out of it. everything turned out perfect this time. light, fluffy, and yeasty. it was delicious. just active the yeast in this way and it will turn out fine.",5,1
"i made this recipe for a group of 50 and had many compliments. it's very easy and if you like a tangy dressing, you'll like this!!",5,1
"hi lois, thought this site was for reviews, not criticism, btw, soup was amazingly good! thanks toh for the recipe",5,1
followed recipe to a tee. broth was very very thin!!! i used the chicken broth to boil veggies!! ??? might add some corn now..?? when i added broth,2,0
this was good. i substituted what i had on hand. used a box of frozen spinach and substituted 8 oz of a bagged tortellini. used a roasted diced tomato which had some additional seasoning. my picky son liked it. so i'd say it was a hit..,5,1
"this is one of the best wild rice soups to make. it enhances the flavor of the rice and doesn't get all mushy. this is also wonderful with ham, with ham and chicken or with smoked turkey.",5,1
"this was sooo good! i made it using frozen shrimp and scallops, both defrosted. wonderful taste. rich and creamy. will definitely make it again.",5,1
my absolute favorite recipe! i add extra bananas if i have them and keeps it extra moist. i also use powdered buttermilk to make the 1/4 cup buttermilk so i always have buttermilk available in my kitchen. highly recommend this recipe!,5,1
"my family loves these! i always make a double batch for parties and potlucks. one batch just as the recipe says. the other batch i skip the horseradish and put a tiny smear of apricot, peach or marmalade jam on the bottom bun. leave out the onion in the butter sauce topper and use sesame seeds to differentiate between the two versions. both are huge hits! be sure to cut the ham and cheese to ""roll size"" before you put them together as it mskes them so much easier to cut for serving after they're baked. some vidros on the internet call for jyst laying large whole slices of ham overlapping on the bottom buns. but then there's a huge mess when you try to cut them apart after baking. avoid it by having the ham and cheese fit on the individual buns to start with!",5,1
